$, Claw;OnCreativity (2012)  [Himself]
A., Randy;3:45 (2013)  [Daniel] Alone in This House (2013)  [Evil Creature/Homeowner] And Now Alone (2012)  [Dead Lover] Brother Lost (2014)  (uncredited)  [Guy on Ride] Delilah: Never Forgotten (2012)  [Randy] Fucked Up: From the Beginning (2012)  [Mark Santino] Fucked Up: The Complete Story (2012) (V)  [Mark Santino] Fucked Up: Voices in My Head (2012)  [Mark] Have Faith (2012) Hey, I'm Going to Give You the Bloopers & Extended Scenes (2013) (V)  [Himself] Hey, I'm Going to Kill You (2013)  [The Killer in Black] Life with Matthew 2: Even More Home Videos (2013) (V)  [Himself] Life with Matthew: The Home Videos (2012) (V)  [Himself] Love (2014/III)  [Clive] Matt's Psycho Shorts: Happy HELLoween (2012) (V)  [Mark/Evil Creature/Damien] MDA 2: Matt's Short Films (2015) (V) MDA: Matt's Short Films (2013) (V) Raisin Bread (2012)  [Evil Creature] Sex (2014)  [Clive] Sex, Love, Suicide (2014) (V)  [Clive] Stalking 101: How to Kill a Guy (2012)  [Damien] Suicide (2014/III)  [Clive] That Was Easy (2013)  [Randy] The Sketches of Matty Mad Man (2013)  [Randy] The Sketches of Matty Mad Man: Part Dos (2014) Trippy: Spitting Rainbows (2014) Vicky Foxx: Forever in Blue Jeans (2010)  [Himself] CameronArreola TV (2009) {Cameron Hyper (#1.9)}  [Himself] CameronArreola TV (2009) {Hula Hooping (#2.3)}  [Himself] CameronArreola TV (2009) {The Youtube Kids at Jump Planet (#1.4)}  [Himself] Cloud Burst (2012) {One Can Dream of a Summer Fling (#1.4)}  [Summer Fling] Crispy Adventures (2013) {Ghost Tour Part 1: Ghost Stories (#1.1)}  [Randay] Crispy Adventures (2013) {Ghost Tour Part 2: Stole My Soul (#1.2)}  [Randay] CrispyMedia (2009) {Ashley's B'Day (#2.11)}  [Himself] CrispyMedia (2009) {Emolishous (#1.7)}  [Himself] CrispyMedia (2009) {Hello Seattle (#1.1)}  [Himself] CrispyMedia (2009) {Misti's B'Day (#2.12)}  [Himself] CrispyMedia (2009) {New Years at the Space Needle (#1.3)}  [Himself] CrispyMedia (2009) {Nicole Richie (#2.10)}  [Himself] CrispyMedia (2009) {Prank Phone Calls (#1.9)}  [Pranker 4] His Name Is Boris: The Minisodes (2013) {Boris' Birthday (#1.2)}  [Master] MatthewDieuAllen TV (2008) {2012/2013: My Memories (#5.2)}  (archive footage)  [Himself] MatthewDieuAllen TV (2008) {A Day in the Sun}  [Himself] MatthewDieuAllen TV (2008) {A Few Random Moments}  [Himself] MatthewDieuAllen TV (2008) {A Mattychu's Thanksgiving Album (#1.19)}  [Himself] MatthewDieuAllen TV (2008) {Blackout (#1.8)}  (archive footage)  [Himself] MatthewDieuAllen TV (2008) {Boris Watches TV (#5.4)}  [Himself] MatthewDieuAllen TV (2008) {Boris' Birthday Balloon (#5.8)}  [Himself] MatthewDieuAllen TV (2008) {Candy on the Outside (#2.2)}  [Himself] MatthewDieuAllen TV (2008) {Destiny (#5.3)}  (archive footage)  [Himself] MatthewDieuAllen TV (2008) {Downtown Seattle & Greenlake Lanterns (#5.20)}  [Himself] MatthewDieuAllen TV (2008) {Driving Devastation (#2.4)}  [Himself] MatthewDieuAllen TV (2008) {Emotion (#1.12)}  [Himself] MatthewDieuAllen TV (2008) {Enchanted Village: Part 2 (#5.21)}  [Himself] MatthewDieuAllen TV (2008) {Faith Having a Good Day}  [Himself] MatthewDieuAllen TV (2008) {First Video of 2013 (#5.1)}  [Himself] MatthewDieuAllen TV (2008) {Fun Under the Sun pt.2}  [Himself] MatthewDieuAllen TV (2008) {Great Wolf Lodge, Washington (#4.2)}  [Himself] MatthewDieuAllen TV (2008) {Happy 4th of July (#4.3)}  [Himself] MatthewDieuAllen TV (2008) {Happy Halloween 2013 (#5.25)}  [Himself] MatthewDieuAllen TV (2008) {JarJarBinks Eats His Mango}  (voice)  [Himself] MatthewDieuAllen TV (2008) {Lj and the Dogs}  [Himself] MatthewDieuAllen TV (2008) {LJ's Basketball Game (#5.7)}  (voice)  [Himself] MatthewDieuAllen TV (2008) {Making My Dogs Work Hard Aka Dog Labor (#4.14)}  [Himself] MatthewDieuAllen TV (2008) {Matt's WTF Video}  (archive footage)  [Himself] MatthewDieuAllen TV (2008) {Matthew & Randy: The Photo Album (#1.17)}  (archive footage)  [Himself] MatthewDieuAllen TV (2008) {On a Saturday Night (#4.11)}  (voice)  [Himself] MatthewDieuAllen TV (2008) {Pretty Much What I Do While Randy Is Gift Wrapping (#4.19)}  [Himself] MatthewDieuAllen TV (2008) {Pumpkin Carving 2012 (#4.15)}  [Himself] MatthewDieuAllen TV (2008) {Remlinger Farms 2010}  [Himself] MatthewDieuAllen TV (2008) {Snow Day}  [Himself] MatthewDieuAllen TV (2008) {The Bitch Fuckin Allen (#4.13)}  [Randy] MatthewDieuAllen TV (2008) {The High School Daze (#4.17)}  (archive footage)  [Himself] MatthewDieuAllen TV (2008) {The Pix of 2010... So Far (#2.1)}  (archive footage)  [Himself] MatthewDieuAllen TV (2008) {These Two Just Make My Day :) (#4.16)}  [Himself] MatthewDieuAllen TV (2008) {To My Friends (#1.1)}  (archive footage)  [Himself] MatthewDieuAllen TV (2008) {To Randy (#1.2)}  (archive footage)  [Himself] MatthewDieuAllen TV (2008) {Tumblr Intro Video (#4.8)}  [Himself] MatthewDieuAllen TV (2008) {Valium in the Sunshine (#4.1)}  (archive footage)  [Himself] MatthewDieuAllen TV (2008) {Welcome to my World... Bitch! (#4.21)}  [Himself] MatthewDieuAllen TV (2008) {What Is a Matthew Dieu Allen? (#3.3)}  (archive footage)  [Himself] MatthewDieuAllen TV (2008) {Wishing Chair Lie (#5.16)}  [Randy] Razertooth (2009) {Razertooth 3: The Final Bite (#1.3)}  [Guy Gone Crazy] The Time with Matthew & Randy Show (2008) {13 State Trip}  [Himself] The Time with Matthew & Randy Show (2008) {A Weekend With... (#1.9)}  [Himself] The Time with Matthew & Randy Show (2008) {A Weekend With... (Uncut) (#1.10)}  [Himself] The Time with Matthew & Randy Show (2008) {Athol, Idaho/Spokane, Washinton (#2.8)}  [Himself] The Time with Matthew & Randy Show (2008) {Baker Lake (#2.4)}  [Himself] The Time with Matthew & Randy Show (2008) {Baker Lake (Extended Version) (#2.5)}  [Himself] The Time with Matthew & Randy Show (2008) {Baker Lake Pt. 2 (#4.3)}  [Himself] The Time with Matthew & Randy Show (2008) {Boris First Time at the Beach: Oregon Beach Hopin' (#5.2)}  [Himself] The Time with Matthew & Randy Show (2008) {Capilano Suspension Bridge & Mount Rainier (#2.1)}  [Himself] The Time with Matthew & Randy Show (2008) {Columbia Tower (#5.6)}  [Himself] The Time with Matthew & Randy Show (2008) {Deleted/Extended Scenes (#2.9)}  [Himself] The Time with Matthew & Randy Show (2008) {Deleted/Extended/Never Before Seen Scenes from Episodes 1-4 (#3.5)}  [Himself] The Time with Matthew & Randy Show (2008) {Disneyland, Universal Studios, & Sea World (#5.7)}  [Himself] The Time with Matthew & Randy Show (2008) {DL Cali (#5.1)}  [Himself] The Time with Matthew & Randy Show (2008) {Enchanted Village (#5.4)}  [Himself] The Time with Matthew & Randy Show (2008) {Grainite Falls (#2.2)}  [Himself] The Time with Matthew & Randy Show (2008) {Hello Seattle (#3.7)}  [Himself] The Time with Matthew & Randy Show (2008) {Honolulu, Hawaii}  [Himself] The Time with Matthew & Randy Show (2008) {L.A.}  [Himself] The Time with Matthew & Randy Show (2008) {Las Vegas (#2.6)}  [Himself] The Time with Matthew & Randy Show (2008) {Mountain Fun Snowday (#3.6)}  [Himself] The Time with Matthew & Randy Show (2008) {Mtv's Cribs Special Edition (#3.2)}  [Himself] The Time with Matthew & Randy Show (2008) {Never Before Seen Scenes (#3.8)}  [Himself] The Time with Matthew & Randy Show (2008) {New Years at the Space Needle (#1.6)}  [Himself] The Time with Matthew & Randy Show (2008) {NW Trek (#5.3)}  (credit only)  [Himself] The Time with Matthew & Randy Show (2008) {Ocean Shores (#4.1)}  [Himself] The Time with Matthew & Randy Show (2008) {Oouttakes & Goofs (#1.2)}  [Himself] The Time with Matthew & Randy Show (2008) {Portland, Oregon for New Years (#7.1)}  [Himself] The Time with Matthew & Randy Show (2008) {Portland/Seaside Oregon (#2.7)}  [Himself] The Time with Matthew & Randy Show (2008) {Random Canada (#4.2)}  [Himself] The Time with Matthew & Randy Show (2008) {Randomness (#1.4)}  [Himself] The Time with Matthew & Randy Show (2008) {Remlinger Farms/Pumpkin Patch (#3.3)}  [Himself] The Time with Matthew & Randy Show (2008) {Sacramento, California (#6.1)}  [Himself] The Time with Matthew & Randy Show (2008) {Sacramento, California: Part 2 (#6.2)}  [Himself] The Time with Matthew & Randy Show (2008) {San Francisco (#3.4)}  [Himself] The Time with Matthew & Randy Show (2008) {Seattle Aquarium (#3.1)}  [Himself] The Time with Matthew & Randy Show (2008) {Seattle Center & Space Needle (#2.3)}  [Himself] The Time with Matthew & Randy Show (2008) {Seattle Ferris Wheel (#5.5)}  [Himself] The Time with Matthew & Randy Show (2008) {Snow Day (#1.3)}  [Himself] The Time with Matthew & Randy Show (2008) {The Randy Files: Censored Version (#1.7)}  [Himself] The Time with Matthew & Randy Show (2008) {The Randy Files: Uncensored Version (#1.8)}  [Himself] The Time with Matthew & Randy Show (2008) {The Time with Matthew & Randy Show (#1.1)}  [Himself] The Time with Matthew & Randy Show (2008) {Unused Material (#1.5)}  [Himself]
A., Richard;Every Boy Needs a Father (2013)  [Dad] In Loving Memory... (2010) (V)  [Himself] Life with Matthew 2: Even More Home Videos (2013) (V)  [Himself] MDA 2: Matt's Short Films (2015) (V) The Sketches of Matty Mad Man: Part Dos (2014) Trippy: Spitting Rainbows (2014) Vicky Foxx: Forever in Blue Jeans (2010)  [Himself] MatthewDieuAllen TV (2008) {2012/2013: My Memories (#5.2)}  (archive footage)  [Himself] MatthewDieuAllen TV (2008) {A Day in the Sun}  [Himself] MatthewDieuAllen TV (2008) {Destiny (#5.3)}  (archive footage)  [Himself] MatthewDieuAllen TV (2008) {Fun Under the Sun pt.2}  [Himself] MatthewDieuAllen TV (2008) {On a Saturday Night (#4.11)}  (voice)  [Himself] The Story of Matthew & Brandon (2014) {Fall Festival (#1.10)}  [Himself] The Story of Matthew & Brandon (2014) {LJ's Bday Bash (#1.3)}  [Himself] The Story of Matthew & Brandon (2014) {Triston's Big 1-8 (#1.1)}  [Himself] The Time with Matthew & Randy Show (2008) {Columbia Tower (#5.6)}  [Himself] The Time with Matthew & Randy Show (2008) {Deleted/Extended/Never Before Seen Scenes from Episodes 1-4 (#3.5)}  [Himself] The Time with Matthew & Randy Show (2008) {Disneyland, Universal Studios, & Sea World (#5.7)}  [Himself] The Time with Matthew & Randy Show (2008) {NW Trek (#5.3)}  [Himself]
A., Righteous Reverend;Hair on West Texas (2006)  [Amanda]
A., Robert Julius;Hlas Cesko Slovenska (2012) {Výber naslepo III (#1.3)}  [Himself]
A., Rod;MatthewDieuAllen TV (2008) {First Video of 2013 (#5.1)}  [Himself] MatthewDieuAllen TV (2008) {Remlinger Farms 2010}  [Himself] MatthewDieuAllen TV (2008) {The High School Daze (#4.17)}  (archive footage)  [Himself] MatthewDieuAllen TV (2008) {The Pix of 2010... So Far (#2.1)}  (archive footage)  [Himself] The Time with Matthew & Randy Show (2008) {Las Vegas (#2.6)}  (voice)
A., Romel;The Time with Matthew & Randy Show (2008) {Sacramento, California: Part 2 (#6.2)}  [Himself]
A., Ronald;Life with Matthew 2: Even More Home Videos (2013) (V)  (archive footage)  [Himself] MatthewDieuAllen TV (2008) {First Video of 2013 (#5.1)}  [Himself]
A., Santeri;Hittikatsomo - 20 bailuhittiä (2006) (V)  [Himself] Tähtihetkiä kotiteatteriin Vol. 2 (2005) (V)  [Himself]
A., Satyanarayana (I);Jaganmohini (1978)  <7> Vara Vikrayam (1939)  [Pleader]  <13>
A., Sergey;3:00 (2015)  [Stefan Kirkhe] Alien Nightmare (2015)  [Vitya's Friend/Victim] Anthology of Horror 2 (2015)  [Maniac/Man/Victim/Vadim] Antologiya uzhasov (2014)  [Victim/Man/Hand/Angel] Baykalskiy intsident. Skrytaya ugroza (2014)  [Svidetel] Bitva za Sevastopol (2014)  [Man] Cemetery Legend (2015)  [Andrey] Crazy Elnar (2014)  [Dr. Trakhtenberg] Crazy Elnar 2 (2014)  [Victim#1] Crazy Elnar 3 (2014)  [Ghost] Curse Video (2005)  [Man] Dukh (2014)  [Angel] Dusha (2014)  [Angel] Escape from the Village of Zombies (2015)  [Survive] Interstelar (2014)  [Sergey Sergeevich] Kladbishche zabytykh mertvetsov (2013)  (as Serg Ar)  [Man] Koshmar na Olimpiade. Gibel Sochi (2014)  [Man] Koshmar na Volge (2014)  [Man] Lestnitsa (2014)  [Man] Lost in the Woods (2014) (V)  [Man with Camers] Night of the Dead Man (2014)  (voice)  [Man] Nightmare in Bratislava (2015)  [Maxim] Nightmare in Moscow (2015)  [Maxim] Nightmare in Wien (2015)  [Maxim] Obitel strakha (2014)  [Andrey] Otel mertvetsov (2013)  [Sergey] Pokhishchennyy transformerami (2014) Poteryannaya plyonka (2014)  [Victim] Ruka (2014)  [Victim/The hand] Sonnyy ad (2014) (VG)  (episode)  [Monster] Tayna Slendermena (2013)  (as Serg Ar)  [Sergey] Tayna Slendermena 2 (2014)  [Sergey] The Hand. New Victim (2014) The Haunter of the Dark (2015)  [Anton Voloshin] The Possessed (2015) (V)  [Brother] Tragediya v lesu (2014)  [Maniac] Whispering of Dead (2014)  [Sergey]
A., Steve;Ma 6-T va crack-er (1997)  [Emeutier]  <92>
A., Thushy;Der Gärtner (2012)  [Ashtan The Gardener] The Legend of Naya - Die Legende von Naya (2009) (V)  [Foreigner in Park]
A., Tony (II);NWA & Eazy-E: The Kings of Compton (2015)  [Himself]
A., Wei;Zou xi kou (2009)  [Sha Da Ge]  <22>
A., Yacine;Ma 6-T va crack-er (1997)  [Emeutier]  <93>
A., Yahya;Ma 6-T va crack-er (1997)  [Emeutier]  <87>
A., Zyad;Rock in a Hard Place (2009) (V)  [Abdul]
A.1.;TV Hits Awards 2000 (2000) (TV)  [Themselves] CD:UK (1998) {(2006-03-25)}  (archive footage) (as A1)  [Themselves] FM Unplugged (2000) {(#1.5)}  (as A1)  [Themselves] The Big Reunion (2013) {(#2.4)}  (as A1)  [Themselves] The Big Reunion (2013) {(#2.8)}  (as A1)  [Themselves] The Big Stage (1999) {(#1.3)} The Pop Zone (1998) {(#2.4)}  (as A1)  [Themselves] Top of the Pops (1964) {(1999-11-19)}  (as A1)  [Themselves] Top of the Pops (1964) {(2000-03-03)}  (as A1)  [Themselves]  <4> Top of the Pops (1964) {(2000-09-08)}  (as A1)  [Themselves]  <8> Top of the Pops (1964) {(2000-11-17)}  (as A1)  [Themselves]  <9> Top of the Pops (1964) {(2001-03-02)}  (as A1)  [Themselves]
A.ali, Hussain;The Cage (2009)  [Friend]
A.Austin, Geoffrey;Unleaded (2015/II)  [Curly]
A.B., Ibrahim;Sultan Mahmud Mangkat Dijulang (1961)
A.B.C. Showband, The;Countdown (1974) {(#1.3)}  (archive footage)  [Themselves]
A.B.C. Trio, The;Musical Novelties (1945)  (archive footage)  [Themselves]  <7> Vitaphone Gambols (1938)  [Themselves]  <1>
A.B.C., Madrigal;Roberto Carlos Especial (1974) {(1974-01-01)}  [Himself]
A.B.C.Z.;Pon! (2010) {A.B.C-Z}  [Themselves]
A.C. (II);Black Gang Bang 9 (1998) (V)
A.C., Boss;Acabou - Até te Esquecer (2009) (V)  [Himself] 5 Para a Meia Noite (2009) {(2009-12-14)}  [Himself] 5 Para a Meia Noite (2009) {(2012-04-13)}  [Himself] A Minha Geração (2008) {Século XXI (#1.13)}  [Himself] Dá-me Música (2009) {(#1.2)}  [Himself] Fama Show (2008) {(2010-02-14)}  [Himself] Fama Show (2008) {(2012-03-04)}  [Himself] Herman 2010 (2010) {(2012-02-11)}  [Himself] Há Tarde (2014) {(2015-01-29)}  [Himself] Rock in Rio (1985) {(#4.4)}  [Himself - Performer] Só Visto! (2013) {(#1.11)}  [Himself] Só Visto! (2013) {(#1.27)}  [Himself] Só Visto! (2013) {(#1.35)}  [Himself] Uma Canção Para Ti (2008) {(#2.10)}  [Himself]
A.C.H.;Global Wars 15: Night 1 (2015) (V)  [Ach] Wrestless: The MPW Documentary (2014)  [Himself]
A.C.M. Gospel Choir;Genius (2009) {(#1.6)}  [Themselves]
A.D., 92;Gimik: The Reunion (1999)  [Band at Rooftop]  <36>
A.D., Easy;Beat This!: A Hip Hop History (1984) (TV)  [Himself] Wild Style (1983)  [Cold Crush Bros.]  <44> And You Don't Stop: 30 Years of Hip-Hop (2004)  (archive footage)  [Himself]
A.D., Fear;4 Dollars (2006)  [Joseph] Eggnog and Cigars (2007)  [Officer Dusty] Shadows of the Mind (2005)  [Pedro]
A.D., Rosto;Allemaal film (2007) {Wereldberoemd in kleine kring (#1.7)}  [Himself]
A.D.G.;Histoires de fiction (2003) {Drames et mélodrames}  (as ADG)  [Himself]  <3>
A.D.L.;S.O.S (2006)  [Himself]
A.E. Fuentes, James;Street Eyes (2015/I)  [The Dead Guy]  <4> Love-ly (2013) {We Are Not Detectives (#1.3)}  [Paul]
A.F., Khai;Cinta fotokopi (2005)  [Khairul] Potret mistik (2005)  [Harry]
A.F.C., Bradford City;Capital One Cup Highlights (2015) {(#1.1)}  (as Bradford)  [Themselves]  <99> Football League Tonight (2015) {(#1.1)}  (as Bradford)  [Themselves]  <43> Late Kick Off North West (2010) {(#5.6)}  (as Bradford)  [Themselves]  <28> Match of the Day FA Cup (2004) {2014/15 Fourth Round: Bristol City v West Ham United}  (archive footage)  [Themselves]
A.F.C., Hull City;Capital One Cup Highlights (2015) {(#1.1)}  (as Hull)  [Themselves]  <89> Football Focus (2001) {(#13.37)}  (archive footage)  [Themselves] Football Focus (2001) {(#13.41)}  (archive footage)  [Themselves] Football League Tonight (2015) {(#1.1)}  (as Hull)  [Themselves]  <14> Match of the Day 2 (2004) {(#11.21)}  (as Hull)  [Themselves] The League Cup Show (2009) {(#1.3)}  [Themselves]
A.F.C., Leeds United;Football League Tonight (2015) {(#1.1)}  (as Leeds)  [Themselves]  <16> Late Kick Off North West (2010) {(#5.2)}  (uncredited)  [Themselves] Late Kick Off North West (2010) {(#5.3)}  (as Leeds)  [Themselves]  <14> Late Kick Off North West (2010) {(#5.6)}  (as Leeds)  [Themselves]  <13> The League Cup Show (2009) {(#1.3)}  [Themselves]
A.F.C., Oldham Athletic;Capital One Cup Highlights (2015) {(#1.1)}  (as Oldham)  [Themselves]  <31> Football League Tonight (2015) {(#1.1)}  (as Oldham)  [Themselves]  <45> Late Kick Off North West (2010) {(#5.2)}  [Themselves]  <13> Late Kick Off North West (2010) {(#5.3)}  (uncredited)  [Themselves] Late Kick Off North West (2010) {(#5.5)}  (as Oldham)  [Themselves]  <11> Late Kick Off North West (2010) {(#5.6)}  (as Oldham)  [Themselves]  <29>
A.F.C., Rochdale;Capital One Cup Highlights (2015) {(#1.1)}  (as Rochdale)  [Themselves]  <128> Football League Tonight (2015) {(#1.1)}  (as Rochdale)  [Themselves]  <50> Late Kick Off North West (2010) {(#5.2)}  (as Rochdale)  [Themselves]  <26> Late Kick Off North West (2010) {(#5.3)}  (as Rochdale)  [Themselves]  <23> Late Kick Off North West (2010) {(#5.5)}  (uncredited)  [Themselves] Late Kick Off North West (2010) {(#5.6)}  (as Rochdale)  [Themselves]  <31>
A.F.C., Sunderland;Match of the Day 2 (2004) {(#11.21)}  (as Sunderland)  [Themselves]
A.F.C., Swansea City;Football Focus (2001) {(#13.37)}  (archive footage)  [Themselves] Match of the Day 2 (2004) {(#11.21)}  (as Swansea)  [Themselves]
A.G.;Who's the Man? (1993)  [Test Taker #3]  <89> In Living Color (1990) {Loomis Simmons: Psychic Line (#4.28)}  [Himself - Musical Guest]
A.G., Monsta;Mums (2013)  [Snitch]
A.G., Vinod;In Ghost House Inn (2010)  [Lakshmikanth]  <15>
A.H.M.A.D.;Aquarius (2015) {Never Say Never to Always (#1.3)}  [Man with Cane/Cult leader]
A.J. & Chloe;Britain's Got Talent (2007) {(#7.14)}  (as AJ & Chloe)  [Themselves - Contestants] Britain's Got Talent (2007) {(#7.15)}  (as AJ & Chloe)  [Themselves - Contestants] Britain's Got Talent (2007) {(#7.2)}  (as AJ & Chloe)  [Themselves - Contestants]
A.J. (I);1st Annual BET Awards (2001) (TV)  [Himself]  <12> 2nd Annual BET Awards (2002) (TV)  [Himself] 3rd Annual BET Awards (2003) (TV)  [Himself] BET Comedy Awards (2004) (TV)  [Himself] Drumline (2002)  [BET Announcer #1]  <28> Killa Season (2006) (V)  [Dice Game Guy]  <29> Made You Look: Top 25 Moments of BET History (2005) (TV)  [Himself] Slip N' Slide: All Star Weekend 2 (2004) (V)  [Himself] 106 & Park Top 10 Live (2000)  [Himself - Host (2000-2005)]  <1> 106 & Park Top 10 Live (2000) {(2000-10-09)}  [Himself - Host]  <1> 106 & Park Top 10 Live (2000) {(2002-02-22)}  [Himself - Host]  <1> 106 & Park Top 10 Live (2000) {(2002-03-29)}  [Himself - Host]  <1> 106 & Park Top 10 Live (2000) {(2004-10-01)}  [Himself - Host]  <1> 106 & Park Top 10 Live (2000) {500th Show Celebration}  [Himself - Host] 106 & Park Top 10 Live (2000) {Ghostface Killah and Shyheim in the Building}  [Himself - Host] 106 & Park Top 10 Live (2000) {Jay-Z Album Release Party}  [Himself - Host] 106 & Park Top 10 Live (2000) {LaJune in the House for the Ladies}  [Himself - Host] 106 & Park Top 10 Live (2000) {Smilez and Southstar in the Building}  [Himself - Host] 106 & Park Top 10 Live (2000) {The Producer's Week}  [Himself - Host] 106 & Park Top 10 Live (2000) {The Westside Connection Show}  [Himself - Host] 106 & Park Top 10 Live (2000) {The Ying Yang Twins in the Building}  [Himself - Host] 106 & Park Top 10 Live (2000) {Twilight the Challenger}  [Himself - Host] 106 & Park Top 10 Live (2000) {Underground-Mainstreem Rappers Judging Freestyle Friday}  [Himself - Host] Howard Stern on Demand (2005) {Debut Press Conference}  [Himself]
A.J. (II);2nd Coming (2000) (V)  (archive footage) Anal Addicts 11 (2003) (V) Bizarre Peroxide Tales (2003) (V) Blackyard Boogie 2 (1997) (V) Buttman's Bend Over Babes 6 (2003) (V) Carnal Instincts (1998) (V) Tia Bella: Extreme Close-up 3 (1998) (V)
A.J. (III);Misty Beethoven the Musical! (2004) (V)  [Club Patron]  <21> Not Far from Heaven 2 (2004) (V)
A.J. (IV);Wild Style (1983)  (as D.J. AJ)  [Himself]  <31> And You Don't Stop: 30 Years of Hip-Hop (2004) {Back in the Day (#1.1)}  (as DJ AJ)  [Himself]
A.J. (IX);Moolah Beach (2001)  [Himself - Yellow Team]  <11>
A.J. (V);Leather Bears at Play (1997) (V)  <7>
A.J. (VII);Manson Family Movies (1984) (V)  [Leslie]  <13>
A.J. (X);Manson Family Movies (1984) (V)  [Leslie]  <13>
A.J. (XI);Choke 'em 3 (1998) (V)
A.J. (XII);Mad (2008)  [Office Manager]
A.J. (XV);Porn Star Zombies (2009)  (as Aj)  [Trinity]  <6>
A.J. 8;Don't Spill the Eggs (2011)  [Tattooed Egg Hunter/Self] Whales (2010) (V)  [Himself - Poetry Performer] A.J.'s 8 Ball (2010)  [Himself - Host] Solipsist's Dispatch (2009)  [Himself - Guest]
A.K.A Mike Murphy, Mabuse;The Cabinet of Dr. Mabuse (2011)  [Dr. Mabuse]
A.L., Narayana;Santanam (1955)  <17>
A.M., Four;Delicious Abortion (2013)  [Nazi Doctor] I Do Not Exist Unofficial Music Video (2012) (V)  [That guy] The Lascivious Project: The Unauthorized Music Video (2013) (V)  [Himself] The Legion of Supervillains the Official Music Video (2013)  [Zombie/Guy 2]
